Sentiment,Tweet
negative,@AmericanAir Flight Cancelled Flighted and rebooked but agent made a mistake and booked wrong date! Been trying to get through via phone for hours!!
neutral,@United Adopting 2 yr old child from Ethiopia. Flying from ADD to GRR on 2/28.  Need to add child to reservation and get costs.  Help!  Thx
negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
negative,@AmericanAir I can't work with them if the call gets cut off while I'm still holding..... Is DFW looking any better tomorrow?
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
neutral,@JetBlue thanks. Can you change the music in the boarding gates?
neutral,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
neutral,@united Will definitely do so. Sending a DM now.
negative,"@JetBlue Woo! Update! Flight 915 is now possibly delayed by more than 2hrs!  Power of positive thinking, people."
neutral,@AmericanAir is there a probability that flight 1330 from DFW to DTW will be delayed or Cancelled Flighted?
positive,@AmericanAir in miami and the  agents Rachel Wong and Marisol Pimentel were very  pleasant in a world of chaos a BIG .thank u
negative,@SouthwestAir do these scavenger hunt  locations have anything in common because I'm playing detective trying to figure out the one for ATL.
neutral,@USAirways last name Pordes
neutral,"@AmericanAir we then had to deplane, and change planes."
neutral,"@SouthwestAir- ...was only less than 3500pts, but it helped. Had PartnerRewards incoming, but not fast enough to keep pts from expiring."
negative,@united and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor. I'm furious right now.
negative,@USAirways hey let flight 1874get to the gate  hours Late Flight and no fate with dozens of kids on board
negative,@AmericanAir Please stop changing my flights for Spring Break. This is the 5th time!
positive,@united so is that two seats avail so far for us.
negative,@usairways @AmericanAir LAX connect from term 6 to term 4.  55min layover due to delay. US755-AA2595. Is this realistic? Can 2595 be held?
positive,@JetBlue's flight Flight Booking Problems experience is pretty great!
neutral,@united as a million mile flier I'm embarrassed to ask how long ago his launched?
negative,"@united, I'm still frustrated I gave up my seat &amp; the promised Travel Certificate was withheld w/o explanation. http://t.co/KvfwajVViD"
negative,@SouthwestAir is that the same reliable system couldn't find my info and then said it refund my credit card ?
neutral,@AmericanAir are you expecting flights out of DFW to be Cancelled Flightled tomorrow AM and afternoon?
negative,@SouthwestAir loses baggage a day ago and still has no idea or interest in finding it? ALL items for new job in that bag! Unacceptable.
negative,"@united your gate attendant had some snobby remarks, your customer service is like playing poker with my sisters kids!"
neutral,@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr
positive,@SouthwestAir a nice trip back home after a looong vaca 😊🌴 http://t.co/9TRvfnCedL
negative,@united #unitedairlines so is it 6:20 pm or 12:20?   ORD ABQ 3709.   I can't even take a walk without missing a change.
negative,@USAirways I can't believe that you would refer me to a number no one seems to be getting through. Really? I need help ASAP!
negative,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
positive,@USAirways Your CLT baggage crew deserves a #kudos. I had to run to make my connection. And my bags still made it! #CustomerService
negative,@AmericanAir worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed
negative,@united look at the Twitter history - as usual service non existent
positive,@AmericanAir #americanview New paint scheme looks great! #usairways http://t.co/Gt6umHbh43
negative,@USAirways i understand that but i should still be able to view my reservation online....
negative,"@united your b737-800w  literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well #disspointed #premier1k"
positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!
neutral,@SouthwestAir Looks like brooding skies out of ONT this evening. http://t.co/X9BLwgWA68
neutral,@JetBlue hi friend! Question for you when you have a moment.
negative,@USAirways Thanks for the info but have been trying for over 24hrs and no luck. Flight dep. Today. Need 2 change 2 tomorrow or Thursday
negative,"@AmericanAir Lots of upset people, freezing terminal, and no gate agent. Kept us waiting on plane beyond allowable time length."
negative,@SouthwestAir why are you literally the worst?
negative,@AmericanAir the service received by both of us was rude and well below my expectations of your airline. That is what's most frustrating
neutral,"@AmericanAir Hi guys, can you tell me what the emergency is for #AA65 diverting to #Heathrow from Zurich-New York? Thanks, John."
negative,"@JetBlue Love your airline...hate your website.  Just tried to book 2 tickets (1 w miles, 1 w/out).  Absolute joke.   Needs a lot of work!"
neutral,"@jetblue We'd love to help Shanese Bryant-Melton, a hard-working grandmother from DC, go to Miami. It's on her bucket list. #flyitforward"
negative,@AmericanAir ok so why is it Late Flight? And for that matter why was my flight 4491 Cancelled Flighted this morning? I've been in YYZ since 5 AM.
negative,"@USAirways you guys are the worst airline I've ever dealt with.  No notifications, no keeping customers updated.  Terrible service"
negative,@SouthwestAir why doesn't your terminal B in LGA have pre-check? Makes me want to never fly your airline
neutral,"@united no, I have a pricey Chase Mileage Plus CC."
negative,@USAirways more than an hour holding to change a flight on the phone now.. What's up with that???
negative,"@united really needs to start upgrading their planes. No TVs &amp; then the ""inflight wifi"" is currently unavailable #UnitedAirlines"
neutral,"@united Yes, filled out the form last year. Don't have case number handy. Guess I'm not cut out for the historical society afterall"
negative,@AmericanAir how can I get you guys to respond to my tweets and DM??? Really sad feeling to be ignored.
positive,@SouthwestAir thank you!!! #bringbacktheluvtordu #miami #directflights
positive,"@USAirways on the DL, send Ethan some new pants and some ""white revive"" laundry tabs. He's a great guy, good crew, he's just, err, single."
neutral,@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed
negative,@USAirways using all of my monthly minute on hold with you assholes
negative,"@AmericanAir Nope. Couldn't make changes online and after 90 mins on hold and time dealing w/ the rude rep, the 24 hour window has closed."
positive,@SouthwestAir yeehaw. You found us another plane.  Thx for listening to me vent.
negative,"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United"
negative,@USAirways @AmericanAir how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them
negative,@AmericanAir 2nd time in 4 days that my flight has been delayed and my gate agent hasn't said anything! Thanks for the memories. #NeverAgain
negative,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.
neutral,@AmericanAir I saw it finally come through on the mobile app. However it's for tomorrow and I have meetings tonight that I'm trying to make.
negative,"@AmericanAir..still here. feet are freezing b/c doors have been open. Flt time was 8:30.  We have fuel but now waiting for ""rampers"" #AA4285"
negative,@USAirways been on hold for almost 2 hours trying to rebook my Cancelled Flighted flight. What in the world?!!!
negative,"@AmericanAir Howdy, having trouble getting rebooked after flight Cancelled Flightled. Can't get thru via phone and Web erroring out. Can you help?"
negative,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable
negative,@USAirways 1500 characters are not enough to convey the issue. Was directed to emailmailto:customer.relations@usairways.com unmonitored. BAD
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/b5ttno68xu” I just 🙈
positive,Lovely! RT @JetBlue: Our fleet’s on fleek. http://t.co/Hi6Fl1AX9E
neutral,@JetBlue unveils new 'Bluemanity' livery - USA TODAY http://t.co/ueGgKN79zA
negative,@united smiling? NOT!!
positive,@JetBlue thanks for the info. Already doing it now before we board! Looking forward to the future upgrades! #JetBlue http://t.co/5Db9eSBNzG
negative,@USAirways @PHLAirport we don't control your stupidity in not having room to have a plane come in. You better not mess with us now.
negative,@USAirways Thank you. But it is sad that she couldn't talk 2 a REAL person &amp; kept getting disconnected by an automated msg.
negative,“@JetBlue: @benjaminokeefe Thanks for including us on your tour! Did you pack your winter coat?”Unfortunately yes ❄️⛄️ #WereNotinCaliAnymore
negative,"@JetBlue yeah that's all been done. Define ""incidentals""? How much can I spend on gear so this trip is not a waste?"
neutral,@USAirways Can you provide me with info about checking strollers and car seats?  Costs?  Restrictions?  Need to bring 2 seats 1 stroller.
negative,@USAirways abandoned 40 Boston bound fliers...someone in management needs to #saveface and #showup
negative,@united an inconvenience is a weather delay. Your pilot deciding to waste enough time so the FAA wouldn't let him fly is negligence.
positive,@USAirways thanks! Made it safely! http://t.co/KCqeBEej7S
negative,@SouthwestAir well I HAD a car &amp; free place 2 stay had I known Unacceptable treatment from Spvsr. Sally in Cleveland. #Disappointed
neutral,@united sprinted from C concourse to E and just made it. Coughed up a lung in the process but am now in CLT! Tnx!
neutral,@AmericanAir When will the old 777-200 fly ORD-PVG get upgraded?
positive,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain"
negative,"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?"
negative,"@USAirways  you were always my go to. What happened?  Airbus over Boeing, and now no customer service?"
neutral,@united i now see it's 72 hours. Thanks
negative,@SouthwestAir what happend? Why did flight #668 get Cancelled Flighted for 2/22..I was on hold for over an hour and no help
neutral,@united I can't DM you so here's the confirmation # G8CVWJ - please is there any way I can make it to Kailua tonight? Thank you
negative,@USAirways Your policy needs a serious revision for babies.  Fortunately I have choices and choose @Southwest from here on out.
positive,@JetBlue What a great idea! #cometoAustin
negative,"@SouthwestAir Flight Cancelled Flighted, two hours on hold. Then it just hangs up! A little help here? -thx"
neutral,"@united ah, that would explain why crew didn't seem particularly distressed when we pointed it out. It was a little startling at first."
positive,@SouthwestAir About time...and just in time for my next flight Thursday.
positive,@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove
negative,@AmericanAir finally made it to chicago - 13 hours Late Flight.  Did get a $12 food voucher for my wait.about $1per/hr. Never again. Good bye.
negative,@AmericanAir sure is. What's more frustrating is being stranded at the airport with our fate in your hands.
neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
negative,@JetBlue where is it coming from? I thought Tampa?
negative,@USAirways now after an hour on the plane and knowing of a maint issue ahead of time they just announced another 30 mins. Y r we on plane?
negative,@AmericanAir u didn't give an answer why the flight delayed so long. and how do u compensate missing my other flights Lima to Cuzco??
negative,@united how much longer United?? Been on the phone for over an hour to straighten out a star alliance upgrade!!! http://t.co/U1ViEuiDF5
negative,@AmericanAir I need HELP!  I'm trying to Cancelled Flight a flight before it takes off but I can't get a hold of ANYONE because all lines are busy.
negative,"@united ""most likely"" makes it sound like you have no idea, which is not how I want my flights to be. Please use facts thanks."
negative,@USAirways 25+ min. Hung up. Always awful having to call Reservations there.
negative,"@JetBlue  thanks for response! Crew has been VERY patient with us, but they are also frustrated. Wouldn't be so bad but airport is closed!"
negative,@AmericanAir but they refused to unload our luggage so we're stuck in below freezing weather w/o our cold weather clothes.
negative,@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE
negative,@USAirways your service sucks.
negative,"@USAirways I doubt that, its 11:21p &amp; we r still being held captive on the ground at DCA! A little communication from up front would b nice."
negative,@AmericanAir it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!
neutral,@JetBlue @KleinErin Hi! Know a pastor or homeschool mom who might like SpiritED? Have 'em contact me on Prefundia:http://t.co/jRbZLHRW7y
neutral,@JetBlue I have the emails that they are on their way
negative,@USAirways why would you not give us the option to get off the plane instead of sit on it for an hour and a half when you knew at the gate
negative,@AmericanAir I loved todays fight. But there was a bad draft on the airplane please add more air to air thanksm
neutral,@SouthwestAir @TheEllenShow @Imaginedragons if only that was me! 😍 #DestinationDragons
negative,@AmericanAir Least you could do would be to refund me the one-way ticket I had to buy since you weren't able to accommodate. Thank you.
negative,@SouthwestAir Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting
negative,"@USAirways They don't stand alone for me, I bought tix based on USAir confirmed flight. What good is confirmation if you change it anyway?"
negative,@united i have talked to them...on standby for tomorrow but it doesn't look good. May have to stay here till Friday &amp; that's not guaranteed
positive,@SouthwestAir Thanks for sending my kid to the #DestinationDragons concert Vegas @Imaginedragons So awesome! http://t.co/G9b6e0a2sZ
negative,"@USAirways ""good news. We've located the crew and made contact with them"". flight was supposed to leave 4 minutes ago. #usairwaysfail"
negative,"@AmericanAir we're on AA1401 landed at 8:55pm in Miami, but waiting for a gate. Can someone on your team help us out?!"
neutral,@JetBlue When I checked yesterday it looked like it did. Did something change?
positive,"@JetBlue flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  👍👍"
neutral,@SouthwestAir All Flights lead to VEGAS BABY!
negative,@united Donna and Juan still the best in the United Club_ too bad UAL does not get it
negative,@SouthwestAir if you have a rules you should probably apply them all the times not just sometimes. #shouldhaveflownjetblue
neutral,@JetBlue If you have well-priced flights to #Oahu - we could be best friends. @vincenzolandino
positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
negative,@USAirways I will send an email with details Late Flightr. Thank you for responding.
positive,@southwestair cool shot of the moon and one of your fleet http://t.co/kl9BAiMES6
neutral,@AmericanAir can you guys help me please?
negative,@UsAirways  your person taking tickets is rude and now we are delayed 4-50 minutes because you overfilled fuel on the plane #500.
negative,@AmericanAir  thanks for making the worst fly experience ever. Will never book again with your airline. Train your flight attendants better.
positive,@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!
neutral,@SouthwestAir what number can we use to all from outside the US? Thx
positive,@JetBlue thanks great recap. I wouldn't have been able to sleep!  I was nervous the bad guy was getting away. 😉
negative,@JetBlue You already Cancelled Flightled the one b4 us to DCA
negative,@USAirways I'm sorry as well. It's been 24 hrs without my bag and I can't get a straight answers. I'm on call #6 for today.
negative,@AmericanAir Now your site is not working! WTF
positive,@united thank you! My second flight I already got bumped up to 1st! Love it!
neutral,@SouthwestAir how many are left?!
neutral,@USAirways just now but no general announcement
negative,"@AmericanAir sitting on plane in Columbus, supposed to leave an hour ago. Now the mechanic can't find a tool to service the shock absorber."
negative,@JetBlue you want me to talk to the wall?
negative,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed
negative,@USAirways on flight 1839 waiting for weight and balance info for the past 30 minutes!!!
negative,@JetBlue ruining vacations left and right. Who would have thought an airline can Cancelled Flight tickets without telling the buyer
negative,@USAirways Decided to be a good sport and give you guys another shot. Flight delayed. Again.
positive,@united thank you
positive,@SouthwestAir Hey southwest! I wanna go to see @Imaginedragons ! You guys are a lot better then jet blue.
negative,@AmericanAir i will be writing a very detailed letter to you all about this experience today. I have never experienced such awful cs ever
negative,@USAirways And you took away my 1st class seat.  Love being a Chairman Preferred and assigned row 24 seat B middle seat
negative,@USAirways I have better Intel than she does!  She said plane is due in at 630.  Flightaware and your own app say 645
neutral,"@AmericanAir Traveling with my infant: Do you check the carseat for free? If so, do you provide a bag? Someone told me but wanted to confirm"
negative,@JetBlue I waited 3 hrs for my bags and my flight was only 2 hrs
positive,@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.
negative,@JetBlue Appreciate the heads up at 10:45 that my 11am flight was delayed bc the crew is stuck in Boston #communicationFAIL #dobetterJetBlue
negative,@united education of that staff is needed - he also turned away other first class cabin passengers with mileage plus.
neutral,"@AmericanAir Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)"
positive,@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
neutral,"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)"
negative,"@JetBlue can't link my flight from last week to my TruBlue account and 1800 num isn't answering..don't make me fly @Delta again, dont do it!"
negative,. @united sad that you don't think it is important to resolve your client facing team that behaves disgraceful
positive,@SouthwestAir - Apology accepted! #customerserviceWIN #itravelalot http://t.co/z5znfwkKWP
positive,@AmericanAir thanks so much!
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
negative,"@united yes, but they still don't know where it is.  I've been told it might be on a flight, but now no one can confirm it."
negative,@VirginAmerica you suck!
negative,@USAirways I called more than 25 times to redeem mile points and can't get through.  You advertise the miles but make them very hard to use!
negative,"@united that's what you have said for years, you are losing customers!!!!!!"
positive,"@AmericanAir - yep , they've been good.  Now can you make that 1535 flight to mci wait just a tick....😃"
negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
positive,"@united thanks, that would be awesome."
neutral,"@united FYI, went through this on similar flight last week."
positive,@USAirways Thank you. I'll do that next time!
negative,@united any solutions?
negative,@SouthwestAir Please update your website
neutral,@SouthwestAir @Imaginedragons please help me and my best friend get tickets to #DestinationDragons we have so much to thank them for....
negative,@USAirways then drop your fee! $150 ($300RT!!!!) makes no sense; most EU airlines charge $0. @AirCanada charges a reasonable $50.
negative,"@USAirways membership has no privileges anymore - my son is in the army, short window to see him - NO help."
negative,"@AmericanAir been @ airport 8hrs been told nothing by anyone until now your rep has said ""we are waiting for the mechanics to finish lunch""!"
neutral,@usairways Trying to go Nashville to London and just have no idea when would be a good time to fly out of Nashville right now. @AmericanAir
positive,@SouthwestAir  Your Terry is our hero.  Got my husband back thru security to retrieve his cellphone in Austin. Terry (#85832) You Rock!
negative,@AmericanAir There are only 24 hours to Cancelled Flight or change itineraries booked online and that 24 hours is just about over. Impossible scenario
negative,@united U BUMS HOW DO U LOSE THE BIGGEST BAG ON THE FLIGHT
negative,@AmericanAir I need refund.
negative,@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight
negative,@united UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!
neutral,@AmericanAir I am trying to switch my flight to AA 1359 I am currently on AA 2401 at 6:50am MONDAY morn then AA 2586! Help Me!!
negative,@USAirways and despite the fact I see you answering all these people on twitter with mundane qs you refuse to answer me!
negative,"@USAirways And by the way, I'm planning it while I've Ben waiting in the line at customer service in PHX...for over an hour!"
negative,@USAirways really nigga.. Ur a fuck boy
positive,@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons
neutral,@AmericanAir I thought all those planes were retired? #MD80
negative,@united this airline is a joke my friends been trapped in houston since 7am sat and have no flight in sight #unitedworstever #trappedhouston
negative,@SouthwestAir 4 flights Cancelled Flightled in one week?! Customer Service is 💩💩💩💩
positive,@SouthwestAir thank you for the confirmation. Maybe people on my flight have directional dislexia.
negative,"@AmericanAir @united week is going to make up for anything, or put me at ease.  You should be asking me how you can fix things, how to..."
negative,@AmericanAir yep as I saidi feel sorry for you that you have to run their account how embarrassing for you
negative,"@USAirways no, they could be at Laguardia, JFK or Charlotte. I have no idea where they are now tho"
negative,"@united not even mentioning how rude the customer service was to us. As a business owner, I'd be mortified if my employees acted as yours"
negative,"@SouthwestAir Lastly, for a company that's trying to put the love in flying it would be nice to have someone personally address my concerns."
neutral,@SouthwestAir @Vindictive_tK Larry David works for southwest?
negative,@AmericanAir @USAirways use the app you say?? http://t.co/WnY9TzsR8N
negative,@USAirways when I call it says y'all are too busy and to call back Late Flightr.  this is terrible customer service.  what will you do about it?
negative,@AmericanAir first flight is Cancelled Flightled. Been on hold for 4 hours. Need information and getting none. Help?
negative,@USAirways I have been trying to book a flight using my miles for 3 straight days. 210 min on phone - still haven't talked to a human.
neutral,"Currently on @JetBlue, my new robotic love-doll. Reminded heavily of @pattonoswalt's bit about them-hence an excuse to say ""huxleyesque."""
negative,@AmericanAir I certainly hope my LA /PBI on 25 th has a NEW plane . The seats on Feb 11 th flight ( in reverse) God awful
negative,@USAirways Your exchange/credit policies are worthless and shadier than the White House. Dissatisfied to the nines right now.
negative,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.
negative,@AmericanAir just wow Regina just told me I can't file or request a lost bag statement until I finish my travel.  So until I get to DC argg
negative,"@AmericanAir continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh."
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/FVYzjLDTON” 🚶🚶🚶🚶
negative,"@USAirways That's 1h 10m waiting to get my bag, 1h40m of flight delays, plus the 2hrs of delay I had on the way out. Never flying you again."
positive,@JetBlue this makes me happy. I hope these aren't empty promises.
neutral,@AmericanAir u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupNOHELP
positive,@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.
neutral,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE
neutral,@JetBlue I'd go to Australia to enjoy the land down under! Always been on my bucket list! #FlyingItForward
neutral,"@USAirways if I paid for ticket with advantage world executive card, do I pay baggage fees when flying us airways? Wife traveling now"
positive,@JetBlue that is great. But once it gets to Buffalo will it be able to leave and get to JFK? Or there's issues still at Buffalo airport?
positive,@USAirways   Just talked to reservation. Must congratulation to them. Very friendly.  Good for usair. The ONLY airline we fly.
negative,@JetBlue PR-friendly tweets don't help drive accountability. Hope Mr. Hayes takes note.
negative,@united  I understand that but why should I pay to change if it was a problem with your plane. If it was weather I would understand
negative,"@USAirways my friends are stuck at KPHL and not getting any help from anyone, can you guys contact them please?"
negative,@AmericanAir She got to the gate just in time to watch the plane push back. 5 minutes was all she needed. Glad we’ve relatives nearby.
negative,"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines."
negative,@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.
negative,@JetBlue actually they said the fraud issue was never resolved. but why then did they issue me a new ticket of the phone?
neutral,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?
negative,@AmericanAir it's not about the weather. It's about the fact that I can't get ahold of anyone to help. BUT you can tweet me back.
negative,@JetBlue all they said was delayed due to mechanical issues. I'm looking for something a little more specific.
positive,@SouthwestAir show me some love and a companion flight~please and thank you!
neutral,"@USAirways if I qualify for free 1st checked bag, is that applied at checkin? Same for using companion tickets?"
negative,"@USAirways has no idea what customer service means.  As the customer, if you mess up my plans, don't treat me like its no big deal!"
negative,@JetBlue just called that number and left message. Are you at to pass along message to team too?
negative,@JetBlue How is it possible the only way to contact your fraud department is mailing a physical letter? No telephone? No email? REALLY??
negative,@united just tried to log in and was told e-mail log in not currently available
negative,"@JetBlue honestly I’m glad you didn’t Cancelled Flight the flight, just that I’ll be driving home at 3-4 am now. :/"
neutral,@USAirways please please please let my plane back to the gate so I can get off as I will miss connection due to CLT closing. 2034
neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
negative,@JetBlue @dgruber1700  oh wow and I'm complaining about two hour on the run way shucks JetBlue NOT GOOD your service was better than this
negative,@JetBlue hard when you're with your younger siblings and cousin and they just want to go on the airplane. We should get better than this
positive,"@USAirways #success made flight , please thank the crew of 556 great time recovery"
negative,@AmericanAir we're still stucked in the airport. #AADelay #AA919
positive,"@JetBlue tough choices but I did all simultaneously! As a business traveler, best experience in a long time. #wishmyflightwaslonger #what"
positive,@SouthwestAir Well plane arrived pretty much on time and it's 68 degrees on the ground in Texas. Not much to complain about.
positive,@united So far so good. Just stepped down in Denver. Next Stop Portland!
negative,@AmericanAir I'll give a reward for whoever finds and returns to me on Thurs when I fly back thru @dfwairport. I ❤️ these earrings!!
negative,@JetBlue is a joke. Missed my connecting flight by 5 minutes. Last flight of the day and they don't hold it.  5 minutes.
negative,@JetBlue I understand but wish you would have announced the delay 2 hours earlier vs sitting for 2 hrs at MCO
negative,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy
positive,"@AmericanAir Thanks. Having issues checking in for flight, please check our DM convo for more info."
neutral,@JetBlue Any EMS window seats on 1099 tomorrow?
negative,@united i need help but in spanish
negative,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
neutral,"@united ha, this happened 10 years ago. i haven't flown with you since."
negative,"@USAirways holding your passengers hostage during your computer crash is not customer friendly, let us off the plane or get us moving"
negative,@JetBlue they say they have no update. I don't work I don't get paid.  Jet blue has my money but no flight. Argh!
neutral,"@AmericanAir if I've booked an AA award on USAir metal, and space opens up on AA metal, can I change to the AA flight without fees?"
negative,@USAirways and despite tailwind… Will still be Late Flight.
negative,@USAirways where are my bags?
negative,@AmericanAir When will callers from the East Coast be able to speak to an actual human for reservation support? All agents busy call Late Flightr..
negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
negative,@USAirways so I get bumped to the 6pm to Birmingham which is now delayed because the pilots scheduled don't have enough hours together. Fail
positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
neutral,@SouthwestAir If you read my tweet it is a gap in process for folks that take multiple flights in one day.
neutral,@JetBlue any chance you will by this summer?
negative,"@AmericanAir Flight Cancelled Flightled, website refers to 1-800#, the 1-800# hangs up on me. Not auto-rebooked. Really? Horrible company."
neutral,"@united is pri boarding for ""Active Military"" or only ""In Uniform?"" 90% can't travel in uniform for OPSEC reason, even on official travel"
neutral,@AmericanAir message and pics sent...
positive,"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)"
positive,@USAirways finally rectified my flight situation! Thanks again
negative,@united I was patient when they refused to switch my flight Bc of my checked bag then Cancelled Flightled the one I was on
negative,@united tried to check it 40 mins before a flight rather than 45 mins and we are stonewalled by your employees...
negative,@united Flight delayed 40 minutes in ORD because plane didn’t have all the food. That should be fixed in the future. It’s a dumb delay.
negative,@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....
negative,@SouthwestAir having trouble with Wifi. No matter what I get redirected back to getconnected page even though it says I'm connected.
negative,@JetBlue the departure time keeps getting Late Flightr.  I'll be lucky if I'm home by 3am
positive,@AmericanAir Your response has been incredible. Truly amazed at the steps you have taken to enhance your customer relations. Big thank you 😄
positive,Very quick! TY. @united: @auciello I am sorry to hear this. Can you please follow and DM me the details of what transpired? ^JH
neutral,@USAirways Will you pick up your phone then?
negative,@united I was rebooked thru SFO but arrive 9 hours Late Flight and miss activities. I asked to fly today with stop over. Was told I'd have to pay.
neutral,@SouthwestAir is there any chance I could get tickets to the #DestinationDragons show in Vegas? Ive been a huge fan for years! Pretty please
neutral,"@USAirways hi!  Could you protect me on US 445 just in case? Still on ground with no checked luggage, but still a chance I can make original"
neutral,@AmericanAir With snow/ice forecast DFW Tu pm-We am what is change policy on reservations we hold Wed morning? Any leeway??
negative,@united can you help 689 in Chicago get to a gate. Freezing on a runway seems like a crappy thing to do at 9pm
negative,@AmericanAir OMG ANSWER YOUR PHONE I HAVE BEEN ON HOLD FOR 1.5 hours. Cancelled FlightED FLIGHTS SUCK
neutral,@SouthwestAir: grrrrrr I need a flight there first! Maybe for my bday next month...
positive,"@JetBlue I love flying with u, but I have a question, why is one of ur planes called ny jets"
neutral,@united Just got interrogated at the United Club Chicago. #UnitedAirlines #rude #PoorForm
neutral,"@USAirways a $75 change is ok most of the time but if there r open seats on earlier flt and no chkd bag, why not let someone fly standby?"
neutral,"@JetBlue no one yet but some, fl 8162"
negative,@AmericanAir pathetic to have your gate agents lie to my face when you are at fault
neutral,@AmericanAir 3198 to AEX. Is it still going?
negative,@SouthwestAir now I can't board thanks. You guys moved me to standby. I've been holding this boarding pass since 7pm yesterday
negative,@united Where are my bags!!!  They weren't in LAX like your promised.  9 out of 10 things today were a mess today because of you.
negative,@USAirways You are 0 for 3 so far in on-time flights on this vacation.
negative,"@AmericanAir Miami-PhL flight Cancelled Flightled just as I got to the gate. No one from AA around, no one on the phone. Awful awful awful."
negative,@USAirways I need an actual person in customer relations for a refund. What # can I call? I will dispute this charge on my credit card.
negative,@united overbooked by FIFTY people?!? the worst.
negative,@USAirways 4097 DCA to BNA. Just told they need to do 1.5 hrs worth of maintenance. Was supposed to leave at 8:50 am. [sigh]
negative,"@USAirways I sympathize re:weather issues, but when times get tough, call in more folks. Over two hours on hold for 4-minute fix. #FAIL"
